action,composite_score,name,category,market_stage,growth_rate_pct,recency_score,competition_density,signal_strength,pop_fit_score,pop_line_matches,compliance_ok,shelf_life_months,fda_watch,trade_risk_score,sources,source_count,avg_gt_interest,rising_query_count,primary_source_country,format,compliance_note,top_evidence
BOTH,41.0,Matcha Mushroom Latte,functional beverage,growing,0,0.5,0.5,25.5,60,"POP Herbal Teas, POP Organic Teas",True,36,,0.15,rss,1,,0,Japan,instant powder,Shelf life 36mo ✅ | FDA clear ✅ | Trade risk 0.15 ✅,newhope: 'Matcha-do about matcha: 9 must-try products from Natural Products Expo West 2026' — Discov
BOTH,40.5,Mushroom Coffee,functional beverage,growing,8,0.36,0.5,24.5,60,"American Ginseng, POP Herbal Teas",True,36,,0.0,google_trends,1,61.0,1,USA,instant powder,Shelf life 36mo ✅ | FDA clear ✅ | Trade risk 0.00 ✅,"Google Trends rising query: 'mushroom coffee benefits' +3250% || Google Trends: 'mushroom coffee' avg interest=61.0/100, growth +8%"
BOTH,40.3,Turmeric Ginger Latte,functional beverage,growing,15,0.38,0.5,24.1,60,"POP Ginger Chews, POP Ginger Honey Crystals",True,36,,0.35,google_trends,1,16.0,1,India,instant powder,Shelf life 36mo ✅ | FDA clear ✅ | Trade risk 0.35 ✅,"Google Trends rising query: 'turmeric ginger tea' +150% || Google Trends: 'turmeric latte' avg interest=16.0/100, growth +15%"
DEVELOP,40.0,Ginger Shot,functional beverage,peaking,-6,0.31,0.5,23.6,60,"POP Ginger Chews, POP Ginger Honey Crystals",True,18,,0.0,google_trends,1,26.1,4,USA,ready-to-drink bottle,Shelf life 18mo ✅ | FDA clear ✅ | Trade risk 0.00 ✅,Google Trends rising query: 'organic ginger shot' +130% (related to 'ginger shot') || Google Trends rising query: 'what are ginger shots good for' +60% || Google Trends rising query: 'vive ginger shot' +60%
DEVELOP,39.5,Lion's Mane Mushroom,functional food,peaking,-5,0.32,0.5,22.8,60,"American Ginseng, POP Herbal Teas",True,36,,0.0,google_trends,1,54.2,2,USA,instant powder,Shelf life 36mo ✅ | FDA clear ✅ | Trade risk 0.00 ✅,"Google Trends rising query: 'lions mane supplement' +400% || Google Trends rising query: 'lions mane mushroom benefits' +200% || Google Trends: 'lions mane' avg interest=54.2/100, growth -5%"
BOTH,38.8,Manuka Honey,functional food,growing,11,0.37,0.5,21.4,60,"POP Ginger Honey Crystals, POP Herbal Teas",True,18,,0.2,google_trends,1,8.0,0,New Zealand,shelf-stable beverage,Shelf life 18mo ✅ | FDA clear ✅ | Trade risk 0.20 ✅,"Google Trends: 'honey wellness' avg interest=8.0/100, growth +11%"
BOTH,38.3,Elderberry,functional beverage,peaking,0,0.33,0.5,20.5,60,"POP Ginger Honey Crystals, POP Herbal Teas",True,18,,0.0,google_trends,1,28.0,1,USA,shelf-stable beverage,Shelf life 18mo ✅ | FDA clear ✅ | Trade risk 0.00 ✅,"Google Trends rising query: 'elderberry gummies' breakout || Google Trends: 'elderberry syrup' avg interest=28.0/100, growth 0%"
DISTRIBUTE,30.8,Peanut Butter Powder,functional food,emerging,200,0.5,0.95,56.0,0,,True,36,,0.0,amazon_movers,1,,0,USA,instant powder,Shelf life 36mo ✅ | FDA clear ✅ | Trade risk 0.00 ✅,"Amazon Grocery & Gourmet Food #1: 'PBfit 15 Ounce Classic Peanut Butter Powder, Powdered Peanut' — S"
PASS,23.9,Ashwagandha,functional confection,declining,-18,0.27,0.5,18.9,30,American Ginseng,True,24,,0.35,google_trends,1,31.0,1,India,chewy candy,Shelf life 24mo ✅ | FDA clear ✅ | Trade risk 0.35 ✅,"Google Trends rising query: 'ashwagandha benefits' +180% || Google Trends: 'ashwagandha gummy' avg interest=31.0/100, growth -18%"
PASS,22.9,Ginseng Supplement,health & wellness,declining,-15,0.28,0.5,17.0,30,American Ginseng,True,36,,0.0,google_trends,1,12.4,0,USA,supplement / capsule,Shelf life 36mo ✅ | FDA clear ✅ | Trade risk 0.00 ✅,"Google Trends: 'ginseng supplement' avg interest=12.4/100, growth -15%"
DISTRIBUTE,14.0,Chia Seeds,functional food,growing,0,0.5,0.5,25.5,0,,True,18,,0.4,fda_gras,1,,0,Peru,dried fruit,Shelf life 18mo ✅ | FDA clear ✅ | Trade risk 0.40 ✅,FDA GRAS Notice: 'L-ergothioneine produced byEscherichia coliK-12 MG1655 expressing enzymes fromNeur
DISTRIBUTE,13.8,Collagen Peptides,functional beverage,growing,9,0.36,0.42,25.1,0,,True,36,,0.0,"google_trends, amazon_movers",2,19.0,0,USA,instant powder,Shelf life 36mo ✅ | FDA clear ✅ | Trade risk 0.00 ✅,"Amazon Health & Household #12: 'Vital Proteins Collagen Peptides Powder, Salted Caramel, 25.' — Sale || Google Trends: 'collagen drink' avg interest=19.0/100, growth +9%"
DISTRIBUTE,11.9,Pandan,asian specialty,growing,12,0.37,0.5,21.6,0,,True,24,,0.35,google_trends,1,9.0,0,Thailand,chewy candy,Shelf life 24mo ✅ | FDA clear ✅ | Trade risk 0.35 ✅,"Google Trends: 'pandan snack' avg interest=9.0/100, growth +12%"
DISTRIBUTE,11.8,Moringa,superfood powder,growing,5,0.35,0.5,21.5,0,,True,36,,0.35,google_trends,1,18.0,1,India,instant powder,Shelf life 36mo ✅ | FDA clear ✅ | Trade risk 0.35 ✅,"Google Trends rising query: 'moringa benefits' breakout || Google Trends: 'moringa powder' avg interest=18.0/100, growth +5%"
PASS,10.2,Ube (Purple Yam),asian specialty,declining,-20,0.27,0.5,18.6,0,,True,36,,0.3,google_trends,1,24.0,1,Philippines,instant powder,Shelf life 36mo ✅ | FDA clear ✅ | Trade risk 0.30 ✅,"Google Trends rising query: 'ube powder' +1150% || Google Trends: 'ube latte' avg interest=24.0/100, growth -20%"
DISTRIBUTE,10.0,Yuzu Citrus,asian specialty,peaking,0,0.33,0.5,18.2,0,,True,24,,0.15,google_trends,1,7.0,0,Japan,chewy candy,Shelf life 24mo ✅ | FDA clear ✅ | Trade risk 0.15 ✅,"Google Trends: 'yuzu candy' avg interest=7.0/100, growth 0%"
PASS,0.0,Tempeh,plant-based snack,growing,28,0.43,0.5,26.4,0,,False,9,,0.3,google_trends,1,11.0,0,Indonesia,chips/crackers,Shelf life 9mo < 12mo minimum ❌ | FDA clear ✅ | Trade risk 0.30 ✅,"Google Trends: 'tempeh chips' avg interest=11.0/100, growth +28%"
PASS,0.0,Reishi Mushroom Tea,functional tea,peaking,0,0.33,0.5,20.2,60,"POP Herbal Teas, POP Organic Teas",False,36,,0.85,google_trends,1,22.0,1,China,dry tea,Shelf life 36mo ✅ | FDA clear ✅ | Trade risk 0.85 > 0.6 threshold ❌,"Google Trends rising query: 'reishi mushroom benefits' +220% || Google Trends: 'reishi tea' avg interest=22.0/100, growth 0%"
